GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
embedhttp,net.uiqui.embedhttp.server,DateHeader.LastDateHolder,0,42,0,0,0,12,0,3,0,3
embedhttp,net.uiqui.embedhttp.server,Request,0,66,0,2,0,20,0,9,0,8
embedhttp,net.uiqui.embedhttp.server,InsensitiveMap,0,13,0,0,0,5,0,2,0,2
embedhttp,net.uiqui.embedhttp.server,DateHeader,8,44,3,1,1,11,2,4,0,4
embedhttp,net.uiqui.embedhttp.server,Now,0,2,0,0,0,1,0,1,0,1
embedhttp,net.uiqui.embedhttp.server,ConnectionHeader,0,28,0,0,0,7,0,3,0,3
embedhttp,net.uiqui.embedhttp.server,DateHeader.FormatedDate,0,9,0,0,0,1,0,1,0,1
embedhttp,net.uiqui.embedhttp.server,RequestPipeline,0,59,0,6,0,15,0,11,0,8
embedhttp,net.uiqui.embedhttp.server,ServerInstance,91,165,7,13,12,31,15,12,8,9
embedhttp,net.uiqui.embedhttp,Router,0,4,0,0,0,1,0,1,0,1
embedhttp,net.uiqui.embedhttp,HttpServer,0,6,0,0,0,1,0,1,0,1
embedhttp,net.uiqui.embedhttp.server.io,RequestParser.RequestLine,0,12,0,0,0,1,0,1,0,1
embedhttp,net.uiqui.embedhttp.server.io,ResponseWriter,0,88,0,4,0,25,0,4,0,2
embedhttp,net.uiqui.embedhttp.server.io,IOServer,94,139,2,4,8,31,8,7,6,6
embedhttp,net.uiqui.embedhttp.server.io,RequestParser,34,270,6,28,7,66,6,22,0,11
embedhttp,net.uiqui.embedhttp.server.io,RequestProcessor,13,125,0,6,5,39,0,10,0,7
embedhttp,net.uiqui.embedhttp.server.io,ClientDisconnectedException,5,4,0,0,2,2,1,1,1,1
embedhttp,net.uiqui.embedhttp.routing,RoutingBuilder,0,80,0,0,0,14,0,11,0,11
embedhttp,net.uiqui.embedhttp.routing,Route,17,52,4,4,1,13,5,6,1,6
embedhttp,net.uiqui.embedhttp.routing,RouterImpl,2,78,1,7,1,18,1,6,0,3
embedhttp,net.uiqui.embedhttp.routing,PathPatternCompiler,0,41,0,2,0,12,0,4,0,3
embedhttp,net.uiqui.embedhttp.api,HttpResponse,6,20,0,0,1,6,1,6,1,6
embedhttp,net.uiqui.embedhttp.api,ContentType,0,42,0,0,0,9,0,3,0,3
embedhttp,net.uiqui.embedhttp.api,HttpHeader,0,126,0,0,0,21,0,3,0,3
embedhttp,net.uiqui.embedhttp.api,HttpRequest,0,28,0,0,0,5,0,5,0,5
embedhttp,net.uiqui.embedhttp.api,HttpMethod,2,84,2,4,1,15,2,3,0,2
embedhttp,net.uiqui.embedhttp.api,HttpStatusCode,0,140,0,0,0,22,0,4,0,4
embedhttp,net.uiqui.embedhttp.api.impl,Lazy,0,31,0,2,0,10,0,4,0,3
embedhttp,net.uiqui.embedhttp.api.impl,HttpRequestImpl,0,102,0,4,0,24,0,13,0,11
embedhttp,net.uiqui.embedhttp.api.impl,HttpResponseImpl,0,104,0,2,0,28,0,12,0,11
embedhttp,net.uiqui.embedhttp.server.state,StateMachine,0,103,0,4,0,28,0,8,0,6
embedhttp,net.uiqui.embedhttp.server.state,ServerState,0,27,0,0,0,5,0,1,0,1
